,Group,Point,mean_rank,measures
360,ST011,R104,112.0,2
361,ST011,R108,69.0,2
362,ST011,U12F14,64.0,2
363,ST012,F1001,22.0,2
364,ST012,F1104,22.5,2
365,ST012,R098,75.0,2
366,ST012,R103,19.0,2
367,ST012,R104,65.5,2
368,ST012,R107,34.0,2
369,ST012,U12F14,29.0,2
370,ST013,F0903,23.0,2
371,ST013,F1001,19.0,2
372,ST013,F1104,4.5,2
373,ST013,R083,32.5,2
374,ST013,R098,24.5,2
375,ST013,R103,27.0,2
376,ST013,R104,44.0,2
377,ST014,F0802,25.5,2
378,ST014,F0903,44.5,2
379,ST014,F0904,31.5,2
380,ST014,F1001,12.0,2
381,ST014,F1104,62.0,2
382,ST014,R078,19.5,2
383,ST014,R079,39.25,4
384,ST014,R083,26.0,2
385,ST014,R098,28.0,4
386,ST014,R103,21.5,2
387,ST014,R104,32.5,2
388,ST014,U08F11,23.0,2
389,ST075,L0111,71.0,2
390,ST075,L0205,174.5,2
391,ST075,L0211,61.5,2
392,ST075,L1229,22.5,2
393,ST075,L1233,51.5,2
394,ST76,F0302,23.0,2
395,ST76,L0101,36.5,2
396,ST76,L0102,29.0,2
397,ST76,L0103,24.5,2
398,ST76,L0105,44.5,2
399,ST76,L0111,73.5,2
400,ST76,L0201,51.5,2
401,ST76,L0202,53.5,2
402,ST76,L0204,53.0,2
403,ST76,L0205,56.0,2
404,ST76,L1233,53.5,2
405,ST76,R020,22.0,2
406,ST76,R024,37.5,2
407,ST76,R027,38.0,2
408,ST76,R028,11.0,2
409,ST77,F0302,57.5,2
410,ST77,L0101,54.5,2
411,ST77,L0102,27.5,2
412,ST77,L0103,19.0,2
413,ST77,L0105,49.0,2
414,ST77,L0110,41.5,2
415,ST77,L0111,43.5,2
416,ST77,L0201,159.5,2
417,ST77,L0204,57.5,2
418,ST77,L0205,45.5,2
419,ST77,L0211,69.0,2
420,ST77,L1233,43.0,2
421,ST77,R020,28.5,2
422,ST77,R024,42.5,2
423,ST77,R027,22.5,2
424,ST77,R028,43.5,2
425,ST103,L0101,99.0,2
426,ST103,L0102,83.5,2
427,ST103,L0103,75.5,2
428,ST103,L0105,49.5,2
429,ST103,L0110,72.0,2
430,ST103,L0111,102.0,2
431,ST103,L0201,52.0,2
432,ST103,L0202,67.5,2
433,ST103,L0204,86.5,2
434,ST103,L0205,40.5,2
435,ST103,L0211,41.0,2
436,ST103,L0301,58.0,2
437,ST103,L0302,80.0,2
438,ST103,L0304,92.5,2
439,ST103,L0305,50.0,2
440,ST103,L0402,57.5,2
441,ST103,L0404,65.5,2
442,ST004,F0302,25.5,2
443,ST004,R020,19.0,2
444,ST004,R024,62.0,2
445,ST004,R028,18.5,2
446,ST004,R029,77.0,2
447,ST004,R030,17.0,2
448,ST004,R109,45.5,2
449,ST005,F0302,26.0,2
450,ST005,F0402,36.0,2
451,ST005,R020,33.0,2
452,ST005,R024,71.0,2
453,ST005,R028,37.5,2
454,ST005,R029,47.0,2
455,ST005,R030,27.0,2
456,ST005,R033,40.5,2
457,ST005,R109,30.0,2
458,ST006,F0302,35.5,2
459,ST006,F0402,46.5,2
460,ST006,R020,17.5,2
461,ST006,R024,53.0,2
462,ST006,R027,52.0,2
463,ST006,R028,59.0,2
464,ST006,R029,37.5,2
465,ST006,R030,54.0,2
466,ST006,R033,64.0,2
467,ST006,R035,31.5,2
468,ST006,R038,73.5,2
469,ST006,R109,26.5,2
470,ST025,F0302,47.5,2
471,ST025,F0402,79.5,2
472,ST025,F0503,20.0,2
473,ST025,F0505,33.0,2
474,ST025,F0604,39.5,2
475,ST025,F0605,30.0,2
476,ST025,R024,40.5,2
477,ST025,R027,102.0,2
478,ST025,R028,109.5,2
479,ST025,R029,88.0,2
480,ST025,R030,83.5,2
481,ST025,R033,32.5,2
482,ST025,R038,100.5,2
483,ST025,R045,64.0,2
484,ST025,R046,26.5,2
485,ST025,R048,35.5,2
486,ST025,R052,63.5,2
487,ST025,R059,31.0,2
488,ST025,R109,50.0,2
