,Group,Point,mean_rank,measures
47,ST89,L0742,51.0,2
48,ST89,L0803,73.0,2
49,ST89,L0804,65.0,2
50,ST89,L0806,68.0,2
51,ST89,L0807,68.5,2
28,ST57,L0607,10.0,2
52,ST89,L0808,63.0,2
27,ST57,L0606,32.5,2
25,ST60,R079,36.5,2
1,ST030,L0608,87.5,2
2,ST030,L0609,80.5,2
3,ST030,L0610,74.0,2
4,ST030,L0611,70.0,2
5,ST030,L0703,145.5,2
6,ST030,L0704,191.5,2
7,ST030,L0706,199.5,2
9,ST030,L0708,112.5,2
10,ST030,L0726,38.5,2
11,ST60,F0802,49.0,2
12,ST60,L0411,25.5,2
13,ST60,L0606,25.5,2
14,ST60,L0608,52.0,2
15,ST60,L0609,33.0,2
16,ST60,L0610,42.5,2
17,ST60,L0611,38.0,2
18,ST60,L0703,34.5,2
19,ST60,L0704,41.5,2
20,ST60,L0706,88.5,2
21,ST60,L0707,44.0,2
22,ST60,L0708,88.0,2
23,ST60,L0726,87.0,2
24,ST60,R073,157.0,2
26,ST57,F0802,11.0,2
53,ST89,L0820,39.0,2
54,ST89,L0821,48.0,2
55,ST89,L0824,49.0,2
84,ST051,L0741,118.0,2
85,ST051,L0803,172.5,2
87,ST051,L0806,185.5,2
88,ST051,L0807,167.5,2
89,ST051,L0808,119.5,2
90,ST051,L0820,161.5,2
91,ST051,L0821,125.5,2
92,ST051,L0822,92.0,2
93,ST051,L0828,70.0,2
94,ST61,L0742,86.5,2
95,ST61,L0803,77.0,2
96,ST61,L0804,81.5,2
97,ST61,L0808,46.0,2
98,ST61,R079,46.5,2
99,ST61,R083,41.5,2
100,ST63,L0742,90.0,2
101,ST63,L0803,127.5,2
102,ST63,L0804,135.0,2
103,ST63,L0806,103.0,2
104,ST63,L0807,93.0,2
105,ST63,L0808,59.0,2
106,ST63,R079,38.0,2
107,ST63,R083,28.5,2
83,ST051,L0738,81.5,2
82,ST051,L0733,110.5,2
81,ST047,L0806,89.5,2
80,ST047,L0804,94.0,2
56,ST90,L0729,90.5,2
57,ST90,L0730,83.5,2
58,ST90,L0738,74.0,2
59,ST90,L0742,49.0,2
60,ST90,L0803,58.5,2
61,ST90,L0804,69.5,2
62,ST90,L0806,86.5,2
63,ST90,L0807,64.0,2
64,ST90,L0820,41.0,2
65,ST90,L0821,33.5,2
66,ST045,L0729,53.5,2
217,ST64,L1021,126.5,2
67,ST045,L0730,59.0,2
69,ST045,L0742,109.5,2
70,ST045,L0803,119.5,2
71,ST045,L0804,179.0,2
72,ST045,L0806,185.5,2
73,ST045,L0807,118.5,2
74,ST045,L0808,58.0,2
75,ST045,L0820,27.0,2
76,ST045,L0821,30.5,2
77,ST045,L0824,27.0,2
78,ST047,L0733,36.0,2
79,ST047,L0803,47.0,2
68,ST045,L0733,35.5,2
436,ST005,R024,71.0,2
218,ST64,L1063,44.0,2
220,ST55,L0411,34.5,2
356,ST012,F1104,22.5,2
357,ST012,R098,75.0,2
358,ST012,R103,19.0,2
359,ST012,R104,65.5,2
360,ST012,R107,34.0,2
361,ST012,U12F14,29.0,2
362,ST013,F0903,23.0,2
363,ST013,F1001,19.0,2
364,ST013,F1104,4.5,2
365,ST013,R083,32.5,2
366,ST013,R098,24.5,2
367,ST013,R103,27.0,2
368,ST013,R104,44.0,2
369,ST014,F0802,25.5,2
370,ST014,F0903,44.5,2
371,ST014,F0904,31.5,2
372,ST014,F1001,12.0,2
373,ST014,F1104,62.0,2
374,ST014,R078,19.5,2
376,ST014,R083,26.0,2
378,ST014,R103,21.5,2
379,ST014,R104,32.5,2
380,ST075,L0111,71.0,2
355,ST012,F1001,22.0,2
381,ST075,L0205,174.5,2
354,ST011,U12F14,64.0,2
352,ST011,R104,112.0,2
329,ST71,R1114,81.5,2
330,ST87,L0729,16.0,2
331,ST87,L0730,56.5,2
332,ST87,L0742,19.5,2
333,ST87,L0820,21.0,2
334,ST88,L0738,41.0,2
335,ST88,L0820,30.0,2
336,ST046,L0729,29.5,2
337,ST046,L0730,35.0,2
338,ST046,L0742,70.5,2
339,ST046,L0808,65.5,2
340,ST046,L0820,13.0,2
341,ST046,L0821,10.0,2
342,ST050,L0733,30.5,2
343,ST050,L0738,38.0,2
344,ST050,L0741,25.0,2
345,ST050,L0820,26.5,2
346,ST050,L0821,14.5,2
347,ST050,L0828,22.5,2
348,ST011,F1001,26.0,2
349,ST011,F1104,16.5,2
350,ST011,R098,30.5,2
351,ST011,R103,38.0,2
353,ST011,R108,69.0,2
328,ST71,R103,56.0,2
382,ST075,L0211,61.5,2
384,ST075,L1233,51.5,2
412,ST103,L0101,99.0,2
413,ST103,L0102,83.5,2
414,ST103,L0110,72.0,2
415,ST103,L0111,102.0,2
416,ST103,L0201,52.0,2
417,ST103,L0202,67.5,2
418,ST103,L0204,86.5,2
419,ST103,L0205,40.5,2
420,ST103,L0211,41.0,2
421,ST103,L0302,80.0,2
422,ST103,L0304,92.5,2
423,ST103,L0305,50.0,2
424,ST103,L0402,57.5,2
425,ST103,L0404,65.5,2
426,ST004,F0302,25.5,2
427,ST004,R020,19.0,2
428,ST004,R024,62.0,2
429,ST004,R028,18.5,2
430,ST004,R029,77.0,2
431,ST004,R030,17.0,2
432,ST004,R109,45.5,2
433,ST005,F0302,26.0,2
434,ST005,F0402,36.0,2
411,ST77,R028,43.5,2
383,ST075,L1229,22.5,2
410,ST77,R027,22.5,2
408,ST77,R020,28.5,2
385,ST76,F0302,23.0,2
386,ST76,L0101,36.5,2
387,ST76,L0102,29.0,2
388,ST76,L0111,73.5,2
389,ST76,L0201,51.5,2
390,ST76,L0202,53.5,2
391,ST76,L0204,53.0,2
392,ST76,L0205,56.0,2
393,ST76,L1233,53.5,2
394,ST76,R020,22.0,2
395,ST76,R024,37.5,2
396,ST76,R027,38.0,2
397,ST76,R028,11.0,2
398,ST77,F0302,57.5,2
399,ST77,L0101,54.5,2
400,ST77,L0102,27.5,2
401,ST77,L0110,41.5,2
402,ST77,L0111,43.5,2
403,ST77,L0201,159.5,2
404,ST77,L0204,57.5,2
405,ST77,L0205,45.5,2
406,ST77,L0211,69.0,2
407,ST77,L1233,43.0,2
409,ST77,R024,42.5,2
219,ST64,R108,24.0,2
327,ST71,L1119,91.5,2
325,ST71,L1102,45.5,2
249,ST54,L0610,35.0,2
250,ST54,L0612,115.5,2
251,ST54,L0613,114.5,2
252,ST54,R060,55.5,2
253,ST54,R064,73.5,2
254,ST54,R067,54.0,2
255,ST54,R068,56.5,2
256,ST56,F0903,35.5,2
257,ST56,F0904,47.0,2
258,ST56,L0411,32.5,2
259,ST56,L0606,8.5,2
260,ST56,L0607,38.0,2
261,ST56,L0608,22.5,2
262,ST56,L0610,19.5,2
