,Group,Point,m_distance,rank,measures
1336,ST58,R073,2765.7836435122904,46.0,2.0
1338,ST58,F0802,4504.63281022257,99.5,2.0
1339,ST58,F0705,4107.6831035205305,63.0,2.0
1340,ST58,F0704,4362.454630017956,78.0,2.0
1341,ST58,R060,8619.456716818502,84.5,2.0
1343,ST58,L0611,9679.314454052355,30.0,2.0
1344,ST58,L0610,9630.086855369647,48.5,2.0
1345,ST58,L0608,9685.596528782122,41.0,2.0
1347,ST59,F0802,5757.666249108384,40.5,2.0
1348,ST59,R073,3996.4677152751037,33.0,2.0
1349,ST59,R079,13638.758445445439,33.0,2.0
1350,ST59,R060,9660.432614184776,33.5,2.0
1351,ST59,L0703,1644.4063602168646,66.0,2.0
1352,ST59,L0704,1586.9948825031454,85.5,2.0
1353,ST59,L0610,8624.248257625832,54.5,2.0
1354,ST59,L0611,8684.422274517034,36.0,2.0
1355,ST59,L0609,8791.637769447996,33.0,2.0
1356,ST59,L0608,8715.285966944337,31.5,2.0
1359,ST59,L0708,4378.983383263667,93.0,2.0
1360,ST60,L0707,3168.4412190140315,44.0,2.0
1361,ST60,L0706,3198.375144013139,88.5,2.0
1362,ST60,L0703,3491.6010544918986,34.5,2.0
1363,ST60,L0704,3470.5295929738804,41.5,2.0
1364,ST60,R073,7004.663089623533,157.0,2.0
1366,ST60,F0802,8770.241055961422,49.0,2.0
1367,ST60,R079,16651.4214350613,36.5,2.0
1368,ST60,L0611,6262.865510752087,38.0,2.0
1369,ST60,L0610,6164.378481433596,42.5,2.0
1370,ST60,L0608,6348.578597341537,52.0,2.0
1371,ST60,L0609,6453.007526768178,33.0,2.0
1372,ST60,L0606,7422.936938890554,25.5,2.0
1373,ST60,L0411,18410.194608012345,25.5,2.0
1376,ST60,L0708,5372.708793290031,88.0,2.0
1377,ST60,L0726,8869.26447592809,87.0,2.0
1381,ST61,R079,10079.678011388067,46.5,2.0
1384,ST61,R083,4577.36191160333,41.5,2.0
1385,ST61,L0803,1548.104991233064,77.0,2.0
1386,ST61,L0742,4584.341912296065,86.5,2.0
1387,ST61,L0808,3758.940858358216,46.0,2.0
1388,ST61,L0804,1528.969665359701,81.5,2.0
1389,ST62,L0742,6890.865724254221,54.5,2.0
1390,ST62,R078,1748.8713863429718,100.5,2.0
1391,ST62,R083,2623.313258103248,76.5,2.0
